Year,Price
2023,76.8
2022,74.6
2021,71.2
2020,68.9
2019,72.5
2018,70.8
2017,68.0
2016,65.2
2015,62.3
2014,60.5
2013,58.7
2012,57.2
2011,55.9
2010,54.8
2009,53.6
2008,52.7
2007,51.9
2006,50.8
2005,49.5
2004,48.2
2003,47.0
2002,45.8
2001,44.5
2000,43.2
1999,42.5
1998,41.8
1997,40.9
1996,39.7
1995,38.5
1994,37.2
1993,36.0
1992,35.2
1991,34.4
1990,33.6
1989,32.8
1988,31.9
1987,30.7
1986,29.5
1985,28.2
1984,27.0
1983,26.2
1982,25.4
1981,24.6
1980,23.8
1979,23.0
1978,22.2
1977,21.5
1976,20.7
1975,20.0
1974,19.5
1973,18.9
1972,18.3
1971,17.7
1970,17.2
1969,16.8
1968,16.4
1967,15.9
1966,15.5
1965,15.2
1964,14.8
1963,14.4
1962,14.0
1961,13.6
1960,13.2
1959,12.9
1958,12.6
1957,12.3
1956,12.0
1955,11.7
1954,11.4
1953,11.1
1952,10.8
1951,10.5
1950,10.2
